id;descrizione;anni_esperianza;note;ambito_id
1;solution connecting;96797;Refined redundant;1
2;Granite Grocery;75513;Credit Card Account transmitter cyan;2
3;Checking Account;98046;Home Loan Account withdrawal;3
4;partnerships International;34825;Berkshire solid state;4
5;middleware Switzerland;69764;back-end Via indexing;5
6;Business-focused Canyon Orchestrator;49261;concept payment;6
7;robust;53726;Creek;7
8;Shirt Metal;64087;Chicken;8
9;e-business RSS;51523;Officer Savings Account Automated;9
10;Pants even-keeled Chair;8870;Granite Island;10
